Zeitpunkt;Bundesland;Kreis;Kreisschlüssel;Altersgruppe;Bevölkerung
Ende 2020;Rheinland-Pfalz;LK Ahrweiler;07131;00-17;20323
Ende 2020;Rheinland-Pfalz;LK Ahrweiler;07131;18-59;67328
Ende 2020;Rheinland-Pfalz;LK Ahrweiler;07131;60+;42828
Ende 2020;Bayern;LK Aichach-Friedberg;09771;00-17;24399
Ende 2020;Bayern;LK Aichach-Friedberg;09771;18-59;73944
Ende 2020;Bayern;LK Aichach-Friedberg;09771;60+;36681
Ende 2020;Baden-Württemberg;LK Alb-Donau-Kreis;08425;00-17;36315
Ende 2020;Baden-Württemberg;LK Alb-Donau-Kreis;08425;18-59;109091
Ende 2020;Baden-Württemberg;LK Alb-Donau-Kreis;08425;60+;52798
Ende 2020;Thüringen;LK Altenburger Land;16077;00-17;12235
Ende 2020;Thüringen;LK Altenburger Land;16077;18-59;40765
Ende 2020;Thüringen;LK Altenburger Land;16077;60+;35356
Ende 2020;Rheinland-Pfalz;LK Altenkirchen;07132;00-17;21488
Ende 2020;Rheinland-Pfalz;LK Altenkirchen;07132;18-59;68213
Ende 2020;Rheinland-Pfalz;LK Altenkirchen;07132;60+;39386
Ende 2020;Sachsen-Anhalt;LK Altmarkkreis Salzwedel;15081;00-17;12878
Ende 2020;Sachsen-Anhalt;LK Altmarkkreis Salzwedel;15081;18-59;41239
Ende 2020;Sachsen-Anhalt;LK Altmarkkreis Salzwedel;15081;60+;28570
Ende 2020;Bayern;LK Altötting;09171;00-17;19184
Ende 2020;Bayern;LK Altötting;09171;18-59;59698
Ende 2020;Bayern;LK Altötting;09171;60+;32772
Ende 2020;Rheinland-Pfalz;LK Alzey-Worms;07331;00-17;22504
Ende 2020;Rheinland-Pfalz;LK Alzey-Worms;07331;18-59;70536
Ende 2020;Rheinland-Pfalz;LK Alzey-Worms;07331;60+;37675
Ende 2020;Bayern;LK Amberg-Sulzbach;09371;00-17;16607
Ende 2020;Bayern;LK Amberg-Sulzbach;09371;18-59;55708
Ende 2020;Bayern;LK Amberg-Sulzbach;09371;60+;30683
Ende 2020;Niedersachsen;LK Ammerland;03451;00-17;21566
Ende 2020;Niedersachsen;LK Ammerland;03451;18-59;65704
Ende 2020;Niedersachsen;LK Ammerland;03451;60+;38373
Ende 2020;Sachsen-Anhalt;LK Anhalt-Bitterfeld;15082;00-17;22043
Ende 2020;Sachsen-Anhalt;LK Anhalt-Bitterfeld;15082;18-59;75943
Ende 2020;Sachsen-Anhalt;LK Anhalt-Bitterfeld;15082;60+;59231
Ende 2020;Bayern;LK Ansbach;09571;00-17;31918
Ende 2020;Bayern;LK Ansbach;09571;18-59;101636
Ende 2020;Bayern;LK Ansbach;09571;60+;51762
Ende 2020;Bayern;LK Aschaffenburg;09671;00-17;28626
Ende 2020;Bayern;LK Aschaffenburg;09671;18-59;93968
Ende 2020;Bayern;LK Aschaffenburg;09671;60+;52064
Ende 2020;Bayern;LK Augsburg;09772;00-17;45628
Ende 2020;Bayern;LK Augsburg;09772;18-59;139073
Ende 2020;Bayern;LK Augsburg;09772;60+;71199
Ende 2020;Niedersachsen;LK Aurich;03452;00-17;30987
Ende 2020;Niedersachsen;LK Aurich;03452;18-59;99795
Ende 2020;Niedersachsen;LK Aurich;03452;60+;59396
Ende 2020;Rheinland-Pfalz;LK Bad Dürkheim;07332;00-17;20767
Ende 2020;Rheinland-Pfalz;LK Bad Dürkheim;07332;18-59;68412
Ende 2020;Rheinland-Pfalz;LK Bad Dürkheim;07332;60+;43825
Ende 2020;Bayern;LK Bad Kissingen;09672;00-17;15896
Ende 2020;Bayern;LK Bad Kissingen;09672;18-59;52904
Ende 2020;Bayern;LK Bad Kissingen;09672;60+;34369
Ende 2020;Rheinland-Pfalz;LK Bad Kreuznach;07133;00-17;25973
Ende 2020;Rheinland-Pfalz;LK Bad Kreuznach;07133;18-59;82673
Ende 2020;Rheinland-Pfalz;LK Bad Kreuznach;07133;60+;50100
Ende 2020;Bayern;LK Bad Tölz-Wolfratshausen;09173;00-17;22178
Ende 2020;Bayern;LK Bad Tölz-Wolfratshausen;09173;18-59;69452
Ende 2020;Bayern;LK Bad Tölz-Wolfratshausen;09173;60+;36582
Ende 2020;Bayern;LK Bamberg;09471;00-17;25175
Ende 2020;Bayern;LK Bamberg;09471;18-59;81884
Ende 2020;Bayern;LK Bamberg;09471;60+;40438
Ende 2020;Brandenburg;LK Barnim;12060;00-17;30979
Ende 2020;Brandenburg;LK Barnim;12060;18-59;95380
Ende 2020;Brandenburg;LK Barnim;12060;60+;60984
Ende 2020;Sachsen;LK Bautzen;14625;00-17;48314
Ende 2020;Sachsen;LK Bautzen;14625;18-59;140683
Ende 2020;Sachsen;LK Bautzen;14625;60+;109013
Ende 2020;Bayern;LK Bayreuth;09472;00-17;16562
Ende 2020;Bayern;LK Bayreuth;09472;18-59;55083
Ende 2020;Bayern;LK Bayreuth;09472;60+;32034
Ende 2020;Bayern;LK Berchtesgadener Land;09172;00-17;16545
Ende 2020;Bayern;LK Berchtesgadener Land;09172;18-59;57363
Ende 2020;Bayern;LK Berchtesgadener Land;09172;60+;32419
Ende 2020;Hessen;LK Bergstraße;06431;00-17;44409
Ende 2020;Hessen;LK Bergstraße;06431;18-59;144640
Ende 2020;Hessen;LK Bergstraße;06431;60+;81966
Ende 2020;Rheinland-Pfalz;LK Bernkastel-Wittlich;07231;00-17;18334
Ende 2020;Rheinland-Pfalz;LK Bernkastel-Wittlich;07231;18-59;59109
Ende 2020;Rheinland-Pfalz;LK Bernkastel-Wittlich;07231;60+;35242
Ende 2020;Baden-Württemberg;LK Biberach;08426;00-17;37730
Ende 2020;Baden-Württemberg;LK Biberach;08426;18-59;111727
Ende 2020;Baden-Württemberg;LK Biberach;08426;60+;52793
