Bundesland;Datum;Altersgrupppe;EW_Fallzahl
Baden-Württemberg;2020-02-20;00-19;0.025
Baden-Württemberg;2020-02-20;20-59;1.0583
Baden-Württemberg;2020-02-20;60+;0.041667
Baden-Württemberg;2020-02-21;00-19;0.05
Baden-Württemberg;2020-02-21;20-59;1.2083
Baden-Württemberg;2020-02-21;60+;2.0917
Baden-Württemberg;2020-02-22;00-19;0.058333
Baden-Württemberg;2020-02-22;20-59;2.2667
Baden-Württemberg;2020-02-22;60+;0.1
Baden-Württemberg;2020-02-23;00-19;0.041667
Baden-Württemberg;2020-02-23;20-59;5.3083
Baden-Württemberg;2020-02-23;60+;1.15
Baden-Württemberg;2020-02-24;00-19;1.1
Baden-Württemberg;2020-02-24;20-59;4.4
Baden-Württemberg;2020-02-24;60+;1.2917
Baden-Württemberg;2020-02-25;00-19;3.2583
Baden-Württemberg;2020-02-25;20-59;11.775
Baden-Württemberg;2020-02-25;60+;2.1667
Baden-Württemberg;2020-02-26;00-19;2.525
Baden-Württemberg;2020-02-26;20-59;13.058
Baden-Württemberg;2020-02-26;60+;3.4167
Baden-Württemberg;2020-02-27;00-19;1.4833
Baden-Württemberg;2020-02-27;20-59;9.4417
Baden-Württemberg;2020-02-27;60+;2.525
Baden-Württemberg;2020-02-28;00-19;4.4667
Baden-Württemberg;2020-02-28;20-59;20.708
Baden-Württemberg;2020-02-28;60+;4.4
Baden-Württemberg;2020-02-29;00-19;2.6167
Baden-Württemberg;2020-02-29;20-59;23.5
Baden-Württemberg;2020-02-29;60+;8.7083
Baden-Württemberg;2020-03-01;00-19;4.95
Baden-Württemberg;2020-03-01;20-59;28.8
Baden-Württemberg;2020-03-01;60+;4.9083
Baden-Württemberg;2020-03-02;00-19;8.925
Baden-Württemberg;2020-03-02;20-59;34.458
Baden-Württemberg;2020-03-02;60+;14.142
Baden-Württemberg;2020-03-03;00-19;5.0083
Baden-Württemberg;2020-03-03;20-59;46.75
Baden-Württemberg;2020-03-03;60+;22.583
Baden-Württemberg;2020-03-04;00-19;6.125
Baden-Württemberg;2020-03-04;20-59;63.325
Baden-Württemberg;2020-03-04;60+;23.067
Baden-Württemberg;2020-03-05;00-19;7.7
Baden-Württemberg;2020-03-05;20-59;79.625
Baden-Württemberg;2020-03-05;60+;28.2
Baden-Württemberg;2020-03-06;00-19;17.567
Baden-Württemberg;2020-03-06;20-59;100.83
Baden-Württemberg;2020-03-06;60+;35.217
Baden-Württemberg;2020-03-07;00-19;7.4417
Baden-Württemberg;2020-03-07;20-59;127.51
Baden-Württemberg;2020-03-07;60+;43.3
Baden-Württemberg;2020-03-08;00-19;13.742
Baden-Württemberg;2020-03-08;20-59;187.6
Baden-Württemberg;2020-03-08;60+;70.608
Baden-Württemberg;2020-03-09;00-19;22.808
Baden-Württemberg;2020-03-09;20-59;353.92
Baden-Württemberg;2020-03-09;60+;92.508
Baden-Württemberg;2020-03-10;00-19;27.992
Baden-Württemberg;2020-03-10;20-59;430.41
Baden-Württemberg;2020-03-10;60+;118.47
Baden-Württemberg;2020-03-11;00-19;33.717
Baden-Württemberg;2020-03-11;20-59;560.25
Baden-Württemberg;2020-03-11;60+;148.5
Baden-Württemberg;2020-03-12;00-19;37.8
Baden-Württemberg;2020-03-12;20-59;587.26
Baden-Württemberg;2020-03-12;60+;163.2
Baden-Württemberg;2020-03-13;00-19;43.933
Baden-Württemberg;2020-03-13;20-59;665.75
Baden-Württemberg;2020-03-13;60+;192.32
Baden-Württemberg;2020-03-14;00-19;41.517
Baden-Württemberg;2020-03-14;20-59;621.35
Baden-Württemberg;2020-03-14;60+;201.01
Baden-Württemberg;2020-03-15;00-19;46.642
Baden-Württemberg;2020-03-15;20-59;657.29
Baden-Württemberg;2020-03-15;60+;236.43
Baden-Württemberg;2020-03-16;00-19;51.475
Baden-Württemberg;2020-03-16;20-59;821
Baden-Württemberg;2020-03-16;60+;305.16
Baden-Württemberg;2020-03-17;00-19;46.533
Baden-Württemberg;2020-03-17;20-59;725.68
Baden-Württemberg;2020-03-17;60+;258.22
Baden-Württemberg;2020-03-18;00-19;46.55
Baden-Württemberg;2020-03-18;20-59;701.98
Baden-Württemberg;2020-03-18;60+;316.07
Baden-Württemberg;2020-03-19;00-19;38.1
Baden-Württemberg;2020-03-19;20-59;623.49
Baden-Württemberg;2020-03-19;60+;277.13
Baden-Württemberg;2020-03-20;00-19;47.642
Baden-Württemberg;2020-03-20;20-59;684.62
Baden-Württemberg;2020-03-20;60+;363.25
Baden-Württemberg;2020-03-21;00-19;40.4
Baden-Württemberg;2020-03-21;20-59;573.41
Baden-Württemberg;2020-03-21;60+;243.64
Baden-Württemberg;2020-03-22;00-19;31.45
Baden-Württemberg;2020-03-22;20-59;490.34
Baden-Württemberg;2020-03-22;60+;248.78
Baden-Württemberg;2020-03-23;00-19;50.467
Baden-Württemberg;2020-03-23;20-59;618.24
Baden-Württemberg;2020-03-23;60+;345.98
Baden-Württemberg;2020-03-24;00-19;46.092
Baden-Württemberg;2020-03-24;20-59;472.82
Baden-Württemberg;2020-03-24;60+;249.35
Baden-Württemberg;2020-03-25;00-19;45.883
Baden-Württemberg;2020-03-25;20-59;490.58
Baden-Württemberg;2020-03-25;60+;306.93
Baden-Württemberg;2020-03-26;00-19;34.708
Baden-Württemberg;2020-03-26;20-59;464.19
Baden-Württemberg;2020-03-26;60+;267.86
Baden-Württemberg;2020-03-27;00-19;39.758
Baden-Württemberg;2020-03-27;20-59;515.33
Baden-Württemberg;2020-03-27;60+;285.17
Baden-Württemberg;2020-03-28;00-19;38.158
Baden-Württemberg;2020-03-28;20-59;498.17
Baden-Württemberg;2020-03-28;60+;249.76
Baden-Württemberg;2020-03-29;00-19;33.608
Baden-Württemberg;2020-03-29;20-59;440.12
Baden-Württemberg;2020-03-29;60+;212.42
Baden-Württemberg;2020-03-30;00-19;54.108
Baden-Württemberg;2020-03-30;20-59;536.92
Baden-Württemberg;2020-03-30;60+;343.73
Baden-Württemberg;2020-03-31;00-19;31.875
Baden-Württemberg;2020-03-31;20-59;422.86
Baden-Württemberg;2020-03-31;60+;265.32
Baden-Württemberg;2020-04-01;00-19;55.45
Baden-Württemberg;2020-04-01;20-59;462.91
Baden-Württemberg;2020-04-01;60+;281.49
Baden-Württemberg;2020-04-02;00-19;26.6
Baden-Württemberg;2020-04-02;20-59;401.62
Baden-Württemberg;2020-04-02;60+;287.42
Baden-Württemberg;2020-04-03;00-19;43.933
Baden-Württemberg;2020-04-03;20-59;397
Baden-Württemberg;2020-04-03;60+;279.38
Baden-Württemberg;2020-04-04;00-19;19.608
Baden-Württemberg;2020-04-04;20-59;346.88
Baden-Württemberg;2020-04-04;60+;209.25
Baden-Württemberg;2020-04-05;00-19;14.392
Baden-Württemberg;2020-04-05;20-59;283.73
Baden-Württemberg;2020-04-05;60+;183.07
Baden-Württemberg;2020-04-06;00-19;30.533
Baden-Württemberg;2020-04-06;20-59;355.68
Baden-Württemberg;2020-04-06;60+;252.38
Baden-Württemberg;2020-04-07;00-19;38.108
Baden-Württemberg;2020-04-07;20-59;277.28
Baden-Württemberg;2020-04-07;60+;246.39
Baden-Württemberg;2020-04-08;00-19;31.767
Baden-Württemberg;2020-04-08;20-59;298.25
Baden-Württemberg;2020-04-08;60+;227.18
Baden-Württemberg;2020-04-09;00-19;27.7
Baden-Württemberg;2020-04-09;20-59;289.68
Baden-Württemberg;2020-04-09;60+;198.28
Baden-Württemberg;2020-04-10;00-19;19.908
Baden-Württemberg;2020-04-10;20-59;277.82
Baden-Württemberg;2020-04-10;60+;196.31
Baden-Württemberg;2020-04-11;00-19;24.092
Baden-Württemberg;2020-04-11;20-59;225.22
Baden-Württemberg;2020-04-11;60+;144.3
Baden-Württemberg;2020-04-12;00-19;25.775
Baden-Württemberg;2020-04-12;20-59;212.38
Baden-Württemberg;2020-04-12;60+;140.95
Baden-Württemberg;2020-04-13;00-19;23.375
Baden-Württemberg;2020-04-13;20-59;223.72
Baden-Württemberg;2020-04-13;60+;135.97
Baden-Württemberg;2020-04-14;00-19;18.742
Baden-Württemberg;2020-04-14;20-59;213.52
Baden-Württemberg;2020-04-14;60+;139.16
Baden-Württemberg;2020-04-15;00-19;20.85
Baden-Württemberg;2020-04-15;20-59;231.36
Baden-Württemberg;2020-04-15;60+;123.46
Baden-Württemberg;2020-04-16;00-19;24.817
Baden-Württemberg;2020-04-16;20-59;176.01
Baden-Württemberg;2020-04-16;60+;139.53
Baden-Württemberg;2020-04-17;00-19;14.217
Baden-Württemberg;2020-04-17;20-59;198.43
Baden-Württemberg;2020-04-17;60+;111.4
Baden-Württemberg;2020-04-18;00-19;15.083
Baden-Württemberg;2020-04-18;20-59;170.9
Baden-Württemberg;2020-04-18;60+;103.5
Baden-Württemberg;2020-04-19;00-19;14.242
Baden-Württemberg;2020-04-19;20-59;164.12
Baden-Württemberg;2020-04-19;60+;80.75
Baden-Württemberg;2020-04-20;00-19;14.975
Baden-Württemberg;2020-04-20;20-59;171.68
Baden-Württemberg;2020-04-20;60+;101.58
Baden-Württemberg;2020-04-21;00-19;14.325
Baden-Württemberg;2020-04-21;20-59;142.51
Baden-Württemberg;2020-04-21;60+;116.27
Baden-Württemberg;2020-04-22;00-19;15.092
Baden-Württemberg;2020-04-22;20-59;139.76
Baden-Württemberg;2020-04-22;60+;98.575
Baden-Württemberg;2020-04-23;00-19;19.233
Baden-Württemberg;2020-04-23;20-59;119.86
Baden-Württemberg;2020-04-23;60+;102.66
Baden-Württemberg;2020-04-24;00-19;11.917
Baden-Württemberg;2020-04-24;20-59;112.53
Baden-Württemberg;2020-04-24;60+;63.533
Baden-Württemberg;2020-04-25;00-19;15.425
Baden-Württemberg;2020-04-25;20-59;98.683
Baden-Württemberg;2020-04-25;60+;54.725
Baden-Württemberg;2020-04-26;00-19;17.608
Baden-Württemberg;2020-04-26;20-59;65.417
Baden-Württemberg;2020-04-26;60+;47.708
Baden-Württemberg;2020-04-27;00-19;12.867
Baden-Württemberg;2020-04-27;20-59;93.1
Baden-Württemberg;2020-04-27;60+;76.725
Baden-Württemberg;2020-04-28;00-19;11.725
Baden-Württemberg;2020-04-28;20-59;79.45
Baden-Württemberg;2020-04-28;60+;50.442
Baden-Württemberg;2020-04-29;00-19;12.575
Baden-Württemberg;2020-04-29;20-59;69.75
Baden-Württemberg;2020-04-29;60+;55.067
Baden-Württemberg;2020-04-30;00-19;14.675
Baden-Württemberg;2020-04-30;20-59;59.617
Baden-Württemberg;2020-04-30;60+;60.2
Baden-Württemberg;2020-05-01;00-19;14.475
Baden-Württemberg;2020-05-01;20-59;71.95
Baden-Württemberg;2020-05-01;60+;29.592
Baden-Württemberg;2020-05-02;00-19;8.0333
Baden-Württemberg;2020-05-02;20-59;48.925
Baden-Württemberg;2020-05-02;60+;25.825
Baden-Württemberg;2020-05-03;00-19;9.5667
Baden-Württemberg;2020-05-03;20-59;67.108
Baden-Württemberg;2020-05-03;60+;37.192
Baden-Württemberg;2020-05-04;00-19;15.142
Baden-Württemberg;2020-05-04;20-59;66.975
Baden-Württemberg;2020-05-04;60+;48.833
Baden-Württemberg;2020-05-05;00-19;7.4917
Baden-Württemberg;2020-05-05;20-59;63.767
Baden-Württemberg;2020-05-05;60+;39.242
Baden-Württemberg;2020-05-06;00-19;12.6
Baden-Württemberg;2020-05-06;20-59;60.267
Baden-Württemberg;2020-05-06;60+;39.9
Baden-Württemberg;2020-05-07;00-19;6.6
Baden-Württemberg;2020-05-07;20-59;64.45
Baden-Württemberg;2020-05-07;60+;33.133
Baden-Württemberg;2020-05-08;00-19;6.2083
Baden-Württemberg;2020-05-08;20-59;69.108
Baden-Württemberg;2020-05-08;60+;36.7
Baden-Württemberg;2020-05-09;00-19;2.4917
Baden-Württemberg;2020-05-09;20-59;54.275
Baden-Württemberg;2020-05-09;60+;16.725
Baden-Württemberg;2020-05-10;00-19;5.175
Baden-Württemberg;2020-05-10;20-59;41.883
Baden-Württemberg;2020-05-10;60+;32.142
Baden-Württemberg;2020-05-11;00-19;9.3
Baden-Württemberg;2020-05-11;20-59;50.8
Baden-Württemberg;2020-05-11;60+;23.775
Baden-Württemberg;2020-05-12;00-19;10.092
Baden-Württemberg;2020-05-12;20-59;47.117
Baden-Württemberg;2020-05-12;60+;23.825
Baden-Württemberg;2020-05-13;00-19;4.3333
Baden-Württemberg;2020-05-13;20-59;48.492
Baden-Württemberg;2020-05-13;60+;27.517
Baden-Württemberg;2020-05-14;00-19;3.0833
Baden-Württemberg;2020-05-14;20-59;25.133
Baden-Württemberg;2020-05-14;60+;26.383
Baden-Württemberg;2020-05-15;00-19;2.85
Baden-Württemberg;2020-05-15;20-59;32.392
Baden-Württemberg;2020-05-15;60+;21.825
Baden-Württemberg;2020-05-16;00-19;4.075
